id,user_name,post_message,timestamp_post,num_like_post,num_comment_post,num_share_post,label
0,2167074723833126912,"Cần các bậc phụ huynh xã Ngũ Thái lên tiếng, không ngờ xã mình cũng nhận thịt nhiễm sán...
Cho các cháu Mầm non ăn uống thế này thật vô nhân tính!
VTV đăng tin rồi nhé các anh chị.",1584426000.0,45,15,8,1
1,7368497547812410368,KÊU GỌI ĂN CHAY CẦU NGUYỆN XIN CHÚA CỨU KHỎI DỊCH VIRUS CORONA,1581362736.0,979,39,138,1
2,-5754142625280308224,"Giàn khoan dầu khí gặp sự cố, chết người!

Giàn khoan dầu khí ngoài trời Vũng Tàu gặp sự cố, làm chết nhiều người. Được biết nguyên nhân gây ra sự cố này là do gặp phải khí độc bốc lên làm nhiều người ngạt khí.",1587041580.0,85,13,61,1
3,4177935308849652224,"Thuận Lợi có ca dương tính CV19 rồi đó, mọi người ở Đồng Xoài cẩn thận nhé. Cố gắng an toàn cho qua mùa dịch này cả nhà ơi...
Bình Phước ơi gắng lên!",1596449280.0,114,12,5,1
4,5540309800745996288,Sa Pa cho 9 người khách nước ngoài đi cùng chuyến bay với Nhung…,1583548080.0,166,4,21,1
5,7649993800071920640,Mọi người ra đường nhớ đeo khẩu trang nha. Đã có 2 trường hợp ở Phú Yên rồi nè.,1596949200.0,unknown,unknown,unknown,1
6,-4236764214323896832,"TIN CHẤN ĐỘNG , NHÂN LOẠI ĐƯỢC CỨU

100% người thử nghiệm thuốc chữa Virus corona thành công

Tôi hiện nay đang ở Mỹ và đang ăn tối với các bạn làm bác sĩ, tối nay, hàng loạt kênh truyền hình lớn của Mỹ (Fox News, ABC News,..) vừa công bố đợt thử nghiệm chữa trị cho người bênh virus corona đặt tỷ lệ 100% người lành bệnh.",1584717660.0,21,5,1 share,1
7,-3045551117236283904,Tin Đức Giáo hoàng Phanxicô và hai phụ tá được xét nghiệm dương tính với coronavirus!,1583140380.0,166,15,5,1
8,-931492864188107776,"Chất chlorine dioxide (còn gọi là ‘MMS’) không chỉ là chất có thể tiêu diệt tế bào ung thư, mà cũng có thể diệt sạch virus corona. Ông lớn dược phẩm muốn bạn không biết chuyện này :) ",1583237700.0,342,12,26,1
9,4293892320686232064,"Virus Corona là vũ khí sinh học?
Hiện nay có nhiều bằng chứng chỉ ra virus corona là nhân tạo tuy rất nhiều người còn chưa biết rõ về sự thật này...",1582507020.0,23,10,0,1
