source_id,mapping_source_column,raw_label_value,label_binary,label_name
fix_test_data,Label,0,0,real
fix_test_data,Label,1,1,fake
full_dataset,is_fake,0,0,real
full_dataset,is_fake,False,0,real
full_dataset,is_fake,false,0,real
full_dataset,is_fake,1,1,fake
full_dataset,is_fake,True,1,fake
full_dataset,is_fake,true,1,fake
public_train,label,0,0,real
public_train,label,1,1,fake
update_train_data,Label,0,0,real
update_train_data,Label,1,1,fake
update_val_data,Label,0,0,real
update_val_data,Label,1,1,fake
warmup_training_dataset,label,0,0,real
warmup_training_dataset,label,1,1,fake
